user_name,task_id,task_title,session_order,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,1,알고리즘 - 수학 공부,1,48.0,48.0,30.0,산만,LOW,90.0,95.71,233.0,-137.29,137.29,58.92,112.0,89.6,0.12,47.71,0.8
세진,1,알고리즘 - 수학 공부,2,72.0,120.0,40.0,보통,MEDIUM,95.71,128.4,233.0,-104.6,104.6,44.89,180.0,180.0,0.16,8.4,1.0
세진,1,알고리즘 - 수학 공부,3,87.0,207.0,90.0,꽤 집중,HIGH,128.4,237.0,233.0,4.0,4.0,1.72,23.0,27.6,0.36,30.0,1.2
세진,1,알고리즘 - 수학 공부,4,26.0,233.0,100.0,꽤 집중,HIGH,237.0,235.4,233.0,2.4,2.4,1.03,0.0,0.0,0.4,2.4,1.2
세진,2,알고리즘 - 이분탐색 공부,1,11.0,11.0,10.0,보통,MEDIUM,60.09,62.09,227.0,-164.91,164.91,72.65,99.0,99.0,0.04,51.09,1.0
세진,2,알고리즘 - 이분탐색 공부,2,87.0,98.0,20.0,완전 몰입,VERY_HIGH,62.09,112.0,227.0,-115.0,115.0,50.66,392.0,588.0,0.08,14.0,1.5
세진,2,알고리즘 - 이분탐색 공부,3,15.0,113.0,30.0,완전 몰입,VERY_HIGH,112.0,159.58,227.0,-67.42,67.42,29.7,263.67,395.5,0.12,46.58,1.5
세진,2,알고리즘 - 이분탐색 공부,4,55.0,168.0,50.0,꽤 집중,HIGH,159.58,201.58,227.0,-25.42,25.42,11.2,168.0,201.6,0.2,33.58,1.2
세진,2,알고리즘 - 이분탐색 공부,5,59.0,227.0,100.0,완전 몰입,VERY_HIGH,201.58,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
세진,4,캡디 자료조사 하기,1,104.0,104.0,80.0,보통,MEDIUM,150.55,143.97,184.0,-40.03,40.03,21.75,26.0,26.0,0.32,39.97,1.0
세진,4,캡디 자료조사 하기,2,80.0,184.0,100.0,보통,MEDIUM,143.97,184.0,184.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0
세진,5,악성 코드 조사 및 정리하기,1,113.0,113.0,100.0,보통,MEDIUM,91.38,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0
세진,8,알고리즘 - 이진 검색 트리,1,37.0,37.0,40.0,산만,LOW,61.92,65.04,56.0,9.04,9.04,16.14,55.5,44.4,0.16,28.04,0.8
세진,8,알고리즘 - 이진 검색 트리,2,11.0,48.0,50.0,보통,MEDIUM,65.04,71.23,56.0,15.23,15.23,27.2,48.0,48.0,0.2,23.23,1.0
세진,8,알고리즘 - 이진 검색 트리,3,8.0,56.0,100.0,보통,MEDIUM,71.23,65.14,56.0,9.14,9.14,16.32,0.0,0.0,0.4,9.14,1.0
세진,10,워게임 rev-basic 9문제 풀기,1,30.0,30.0,20.0,꽤 집중,HIGH,154.36,155.93,166.0,-10.07,10.07,6.07,120.0,144.0,0.08,125.93,1.2
세진,10,워게임 rev-basic 9문제 풀기,2,86.0,116.0,50.0,꽤 집중,HIGH,155.93,175.78,166.0,9.78,9.78,5.89,116.0,139.2,0.2,59.78,1.2
세진,10,워게임 rev-basic 9문제 풀기,3,50.0,166.0,100.0,꽤 집중,HIGH,175.78,171.87,166.0,5.87,5.87,3.54,0.0,0.0,0.4,5.87,1.2
세진,14,운체보 개념 이해,0,138.0,138.0,100.0,완전 몰입,VERY_HIGH,244.91,202.14,1000.0,-797.86,797.86,79.79,0.0,0.0,0.4,64.14,1.5
세진,14,운체보 개념 이해,1,28.0,166.0,15.0,꽤 집중,HIGH,202.14,267.7,1000.0,-732.3,732.3,73.23,940.67,1128.8,0.06,101.7,1.2
세진,14,운체보 개념 이해,2,21.0,187.0,20.0,보통,MEDIUM,267.7,321.09,1000.0,-678.91,678.91,67.89,748.0,748.0,0.08,134.09,1.0
세진,14,운체보 개념 이해,3,34.0,221.0,25.0,보통,MEDIUM,321.09,377.38,1000.0,-622.62,622.62,62.26,663.0,663.0,0.1,156.38,1.0
세진,14,운체보 개념 이해,4,36.0,257.0,50.0,꽤 집중,HIGH,377.38,414.98,1000.0,-585.02,585.02,58.5,257.0,308.4,0.2,157.98,1.2
세진,14,운체보 개념 이해,5,8.0,265.0,55.0,꽤 집중,HIGH,414.98,439.23,1000.0,-560.77,560.77,56.08,216.82,260.18,0.22,174.23,1.2
세진,14,운체보 개념 이해,6,49.0,314.0,60.0,보통,MEDIUM,439.23,459.41,1000.0,-540.59,540.59,54.06,209.33,209.33,0.24,145.41,1.0
세진,14,운체보 개념 이해,7,22.0,336.0,65.0,완전 몰입,VERY_HIGH,459.41,497.88,1000.0,-502.12,502.12,50.21,180.92,271.38,0.26,161.88,1.5
세진,14,운체보 개념 이해,8,22.0,358.0,70.0,보통,MEDIUM,497.88,501.68,1000.0,-498.32,498.32,49.83,153.43,153.43,0.28,143.68,1.0
세진,14,운체보 개념 이해,9,42.0,400.0,70.0,꽤 집중,HIGH,501.68,530.81,1000.0,-469.19,469.19,46.92,171.43,205.71,0.28,130.81,1.2
세진,14,운체보 개념 이해,10,35.0,435.0,75.0,꽤 집중,HIGH,530.81,554.27,1000.0,-445.73,445.73,44.57,145.0,174.0,0.3,119.27,1.2
세진,14,운체보 개념 이해,11,42.0,477.0,75.0,보통,MEDIUM,554.27,578.79,1000.0,-421.21,421.21,42.12,159.0,159.0,0.3,101.79,1.0
세진,14,운체보 개념 이해,12,18.0,495.0,75.0,보통,MEDIUM,578.79,603.15,1000.0,-396.85,396.85,39.69,165.0,165.0,0.3,108.15,1.0
세진,14,운체보 개념 이해,13,28.0,523.0,80.0,완전 몰입,VERY_HIGH,603.15,640.26,1000.0,-359.74,359.74,35.97,130.75,196.12,0.32,117.26,1.5
세진,14,운체보 개념 이해,14,79.0,602.0,85.0,완전 몰입,VERY_HIGH,640.26,681.43,1000.0,-318.57,318.57,31.86,106.24,159.35,0.34,79.43,1.5
세진,16,멀코컴 03 정리 마무리,1,55.0,55.0,90.0,완전 몰입,VERY_HIGH,42.76,85.0,73.0,12.0,12.0,16.44,6.11,9.17,0.36,30.0,1.5
세진,16,멀코컴 03 정리 마무리,2,18.0,73.0,100.0,완전 몰입,VERY_HIGH,85.0,80.2,73.0,7.2,7.2,9.86,0.0,0.0,0.4,7.2,1.5
세진,17,멀코컴 04-1 강의 정리,1,18.0,18.0,20.0,보통,MEDIUM,99.08,98.35,311.0,-212.65,212.65,68.37,72.0,72.0,0.08,80.35,1.0
세진,17,멀코컴 04-1 강의 정리,2,53.0,71.0,50.0,완전 몰입,VERY_HIGH,98.35,114.18,311.0,-196.82,196.82,63.28,71.0,106.5,0.2,43.18,1.5
세진,17,멀코컴 04-1 강의 정리,3,29.0,100.0,55.0,완전 몰입,VERY_HIGH,114.18,138.06,311.0,-172.94,172.94,55.61,81.82,122.73,0.22,38.06,1.5
세진,17,멀코컴 04-1 강의 정리,4,11.0,111.0,60.0,보통,MEDIUM,138.06,149.33,311.0,-161.67,161.67,51.98,74.0,74.0,0.24,38.33,1.0
세진,17,멀코컴 04-1 강의 정리,5,37.0,148.0,75.0,꽤 집중,HIGH,149.33,166.69,311.0,-144.31,144.31,46.4,49.33,59.2,0.3,18.69,1.2
세진,17,멀코컴 04-1 강의 정리,6,30.0,178.0,85.0,완전 몰입,VERY_HIGH,166.69,186.56,311.0,-124.44,124.44,40.01,31.41,47.12,0.34,8.56,1.5
세진,17,멀코컴 04-1 강의 정리,7,69.0,247.0,90.0,산만,LOW,186.56,277.0,311.0,-34.0,34.0,10.93,27.44,21.96,0.36,30.0,0.8
세진,17,멀코컴 04-1 강의 정리,8,23.0,270.0,90.0,꽤 집중,HIGH,277.0,287.44,311.0,-23.56,23.56,7.58,30.0,36.0,0.36,17.44,1.2
세진,17,멀코컴 04-1 강의 정리,9,41.0,311.0,100.0,완전 몰입,VERY_HIGH,287.44,311.0,311.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
세진,19,멀코컴 과제 1,1,34.0,34.0,10.0,완전 몰입,VERY_HIGH,207.27,218.7,367.0,-148.3,148.3,40.41,306.0,459.0,0.04,184.7,1.5
세진,19,멀코컴 과제 1,2,67.0,101.0,30.0,완전 몰입,VERY_HIGH,218.7,247.0,367.0,-120.0,120.0,32.7,235.67,353.5,0.12,146.0,1.5
세진,19,멀코컴 과제 1,3,94.0,195.0,40.0,보통,MEDIUM,247.0,285.48,367.0,-81.52,81.52,22.21,292.5,292.5,0.16,90.48,1.0
세진,19,멀코컴 과제 1,4,81.0,276.0,70.0,완전 몰입,VERY_HIGH,285.48,332.5,367.0,-34.5,34.5,9.4,118.29,177.43,0.28,56.5,1.5
세진,19,멀코컴 과제 1,5,12.0,288.0,80.0,완전 몰입,VERY_HIGH,332.5,352.82,367.0,-14.18,14.18,3.86,72.0,108.0,0.32,64.82,1.5
세진,19,멀코컴 과제 1,6,79.0,367.0,100.0,완전 몰입,VERY_HIGH,352.82,367.0,367.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
세진,20,멀코컴 04-2 강의 정리,1,26.0,26.0,70.0,꽤 집중,HIGH,55.25,50.8,67.0,-16.2,16.2,24.18,11.14,13.37,0.28,24.8,1.2
세진,20,멀코컴 04-2 강의 정리,2,41.0,67.0,100.0,완전 몰입,VERY_HIGH,50.8,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
나영,1,데사 2주차 공부,1,60.0,60.0,15.0,꽤 집중,HIGH,160.0,178.48,621.0,-442.52,442.52,71.26,340.0,408.0,0.06,118.48,1.2
나영,1,데사 2주차 공부,2,20.0,80.0,20.0,완전 몰입,VERY_HIGH,178.48,209.0,621.0,-412.0,412.0,66.34,320.0,480.0,0.08,129.0,1.5
나영,1,데사 2주차 공부,3,27.0,107.0,25.0,보통,MEDIUM,209.0,230.9,621.0,-390.1,390.1,62.82,321.0,321.0,0.1,123.9,1.0
나영,1,데사 2주차 공부,4,37.0,144.0,30.0,보통,MEDIUM,230.9,260.79,621.0,-360.21,360.21,58.0,336.0,336.0,0.12,116.79,1.0
나영,1,데사 2주차 공부,5,64.0,208.0,40.0,꽤 집중,HIGH,260.79,312.25,621.0,-308.75,308.75,49.72,312.0,374.4,0.16,104.25,1.2
나영,1,데사 2주차 공부,6,86.0,294.0,50.0,꽤 집중,HIGH,312.25,379.16,621.0,-241.84,241.84,38.94,294.0,352.8,0.2,85.16,1.2
나영,1,데사 2주차 공부,7,35.0,329.0,55.0,꽤 집중,HIGH,379.16,439.19,621.0,-181.81,181.81,29.28,269.18,323.02,0.22,110.19,1.2
나영,1,데사 2주차 공부,8,62.0,391.0,60.0,보통,MEDIUM,439.19,490.18,621.0,-130.82,130.82,21.07,260.67,260.67,0.24,99.18,1.0
나영,1,데사 2주차 공부,9,40.0,431.0,65.0,꽤 집중,HIGH,490.18,547.2,621.0,-73.8,73.8,11.88,232.08,278.49,0.26,116.2,1.2
나영,1,데사 2주차 공부,10,39.0,470.0,70.0,꽤 집중,HIGH,547.2,593.27,621.0,-27.73,27.73,4.47,201.43,241.71,0.28,123.27,1.2
나영,1,데사 2주차 공부,11,46.0,516.0,75.0,꽤 집중,HIGH,593.27,632.01,621.0,11.01,11.01,1.77,172.0,206.4,0.3,116.01,1.2
나영,1,데사 2주차 공부,12,105.0,621.0,100.0,꽤 집중,HIGH,632.01,627.6,621.0,6.6,6.6,1.06,0.0,0.0,0.4,6.6,1.2
