user_name,task_id,title,task_type_raw,task_type,difficulty_raw,difficulty,estimated_minutes_user,ai_estimated_minutes_at_registration,correction_factor_at_registration,log_correction_at_registration,estimate_stage,actual_minutes,planning_error_ratio_actual_div_user_estimated,clamped_planning_error_ratio,log_ratio,clamped_log_ratio,update_stage,dropped,drop_reason,completed_count_before,user_global_before,user_global_after,type_residual_after,difficulty_residual_after,folder_residual_after,type_count_after,difficulty_count_after,folder_count_after
세진,1,알고리즘 - 수학 공부,분량형,QUANTITY_BASED,모름,UNKNOWN,90.0,90.0,1.0,0.0,RULE,233.0,2.5889,2.5889,0.9512,0.9512,AVERAGE_BASELINE,False,,0,,0.0951,"{""QUANTITY_BASED"": 0.14268431748531532}","{""UNKNOWN"": 0.09512287832354356}",{},"{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}",{}
세진,2,알고리즘 - 이분탐색 공부,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,60.09,1.0015,0.0015,RULE_AVERAGE_BLEND,227.0,3.7833,3.7833,1.3306,1.3306,AVERAGE_BASELINE,False,,1,0.0951,0.2187,"{""QUANTITY_BASED"": 0.30660405640288174}","{""UNKNOWN"": 0.20915884818476504}",{},"{""QUANTITY_BASED"": 2}","{""UNKNOWN"": 2}",{}
세진,4,캡디 자료조사 하기,만족형,SATISFACTION_BASED,중,MEDIUM,150.0,150.55,1.0037,0.0036,RULE_AVERAGE_BLEND,184.0,1.2267,1.2267,0.2043,0.2043,AVERAGE_BASELINE,False,,2,0.2187,0.2172,"{""QUANTITY_BASED"": 0.30660405640288174, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.20915884818476504, ""MEDIUM"": -0.0014370672504389614}",{},"{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1}",{}
세진,5,악성 코드 조사 및 정리하기,분량형,QUANTITY_BASED,하,LOW,90.0,91.38,1.0153,0.0152,RULE_AVERAGE_BLEND,113.0,1.2556,1.2556,0.2276,0.2276,AVERAGE_BASELINE,False,,3,0.2172,0.2183,"{""QUANTITY_BASED"": 0.2621650598847587, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.20915884818476504, ""MEDIUM"": -0.0014370672504389614, ""LOW"": 0.0010344079615395019}",{},"{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,8,알고리즘 - 이진 검색 트리,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,61.92,1.032,0.0315,RULE_AVERAGE_BLEND,56.0,0.9333,0.9333,-0.069,-0.069,AVERAGE_BASELINE,False,,4,0.2183,0.1895,"{""QUANTITY_BASED"": 0.17975109866976915, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": -0.0014370672504389614, ""LOW"": 0.0010344079615395019}",{},"{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,10,워게임 rev-basic 9문제 풀기,분량형,QUANTITY_BASED,상,HIGH,150.0,154.36,1.029,0.0286,RULE_AVERAGE_BLEND,166.0,1.1067,1.1067,0.1014,0.1014,AVERAGE_BASELINE,False,,5,0.1895,0.1807,"{""QUANTITY_BASED"": 0.13955995672234148, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": -0.0014370672504389614, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}",{}
세진,14,운체보 개념 이해,만족형,SATISFACTION_BASED,중,MEDIUM,240.0,244.91,1.0204,0.0202,RULE_AVERAGE_BLEND,1000.0,4.1667,4.0,1.4271,1.3863,AVERAGE_BASELINE,False,,6,0.1807,0.3013,"{""QUANTITY_BASED"": 0.13955995672234148, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.11926373987238788, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}",{}
세진,16,멀코컴 03 정리 마무리,분량형,QUANTITY_BASED,중,MEDIUM,40.0,42.76,1.0689,0.0667,RULE_AVERAGE_BLEND,73.0,1.825,1.825,0.6016,0.6016,AVERAGE_BASELINE,False,,7,0.3013,0.3313,"{""QUANTITY_BASED"": 0.16367089263818185, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.13736731883461015, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}",{}
세진,17,멀코컴 04-1 강의 정리,분량형,QUANTITY_BASED,중,MEDIUM,90.0,99.08,1.1009,0.0961,RULE_AVERAGE_BLEND,311.0,3.4556,3.4556,1.24,1.24,AVERAGE_BASELINE,False,,8,0.3313,0.4222,"{""QUANTITY_BASED"": 0.2754211834464041, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.21449787008711552, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}",{}
세진,19,멀코컴 과제 1,분량형,QUANTITY_BASED,하,LOW,180.0,207.27,1.1515,0.1411,RULE_AVERAGE_BLEND,367.0,2.0389,2.0389,0.7124,0.7124,AVERAGE_BASELINE,False,,9,0.4222,0.4512,"{""QUANTITY_BASED"": 0.27764210146030666, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.21449787008711552, ""LOW"": 0.029953697519294355, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 2, ""HIGH"": 1}",{}
