user_name,after_task_id,completed_count,user_global,user_type_residual,user_difficulty_residual,user_folder_residual,type_count,difficulty_count,folder_count
세진,1,1,0.4953,"{""QUANTITY_BASED"": 0.05603144429609847}","{""UNKNOWN"": 0.03735429619739899}",{},"{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}",{}
세진,2,2,0.5789,"{""QUANTITY_BASED"": 0.15296652832175225}","{""UNKNOWN"": 0.10384540035770481}",{},"{""QUANTITY_BASED"": 2}","{""UNKNOWN"": 2}",{}
세진,4,3,0.5414,"{""QUANTITY_BASED"": 0.15296652832175225, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.10384540035770481, ""MEDIUM"": -0.06145661877261607}",{},"{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1}",{}
세진,5,4,0.51,"{""QUANTITY_BASED"": 0.10109676646085958, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.10384540035770481, ""MEDIUM"": -0.06145661877261607, ""LOW"": -0.019283188408419895}",{},"{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,8,5,0.4521,"{""QUANTITY_BASED"": -0.02087070583999026, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": -0.06145661877261607, ""LOW"": -0.019283188408419895}",{},"{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,10,6,0.417,"{""QUANTITY_BASED"": -0.05505595670045469, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": -0.06145661877261607, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}",{}
세진,14,7,0.514,"{""QUANTITY_BASED"": -0.05505595670045469, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.017613715748728054, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}",{}
세진,16,8,0.5227,"{""QUANTITY_BASED"": -0.019706411238690453, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.03391311214498594, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}",{}
세진,17,9,0.5945,"{""QUANTITY_BASED"": 0.10478707543031668, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.11154681758595641, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}",{}
세진,19,10,0.6063,"{""QUANTITY_BASED"": 0.12491104989796098, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.11154681758595641, ""LOW"": 0.006539820953883297, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 2, ""HIGH"": 1}",{}
