user_name,task_id,title,task_type_raw,task_type,difficulty_raw,difficulty,estimated_minutes_user,ai_estimated_minutes_at_registration,correction_factor_at_registration,log_correction_at_registration,estimate_stage,actual_minutes,planning_error_ratio_actual_div_user_estimated,clamped_planning_error_ratio,log_ratio,clamped_log_ratio,update_stage,dropped,drop_reason,completed_count_before,user_global_before,user_global_after,type_residual_after,difficulty_residual_after,folder_residual_after,type_count_after,difficulty_count_after,folder_count_after
세진,1,알고리즘 - 수학 공부,분량형,QUANTITY_BASED,모름,UNKNOWN,90.0,160.37,1.7819,0.5777,RULE,233.0,2.5889,2.5889,0.9512,0.9512,AVERAGE_BASELINE,False,,0,,0.4953,"{""QUANTITY_BASED"": 0.05603144429609847}","{""UNKNOWN"": 0.03735429619739899}",{},"{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}",{}
세진,2,알고리즘 - 이분탐색 공부,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,107.27,1.7878,0.581,RULE_AVERAGE_BLEND,227.0,3.7833,3.7833,1.3306,1.3306,AVERAGE_BASELINE,False,,1,0.4953,0.5789,"{""QUANTITY_BASED"": 0.15296652832175225}","{""UNKNOWN"": 0.10384540035770481}",{},"{""QUANTITY_BASED"": 2}","{""UNKNOWN"": 2}",{}
세진,4,캡디 자료조사 하기,만족형,SATISFACTION_BASED,중,MEDIUM,150.0,300.15,2.001,0.6936,RULE_AVERAGE_BLEND,184.0,1.2267,1.2267,0.2043,0.2043,AVERAGE_BASELINE,False,,2,0.5789,0.5414,"{""QUANTITY_BASED"": 0.15296652832175225, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.10384540035770481, ""MEDIUM"": -0.06145661877261607}",{},"{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1}",{}
세진,5,악성 코드 조사 및 정리하기,분량형,QUANTITY_BASED,하,LOW,90.0,127.41,1.4157,0.3476,RULE_AVERAGE_BLEND,113.0,1.2556,1.2556,0.2276,0.2276,AVERAGE_BASELINE,False,,3,0.5414,0.51,"{""QUANTITY_BASED"": 0.10109676646085958, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.10384540035770481, ""MEDIUM"": -0.06145661877261607, ""LOW"": -0.019283188408419895}",{},"{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,8,알고리즘 - 이진 검색 트리,분량형,QUANTITY_BASED,모름,UNKNOWN,60.0,110.6,1.8433,0.6116,RULE_AVERAGE_BLEND,56.0,0.9333,0.9333,-0.069,-0.069,AVERAGE_BASELINE,False,,4,0.51,0.4521,"{""QUANTITY_BASED"": -0.02087070583999026, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": -0.06145661877261607, ""LOW"": -0.019283188408419895}",{},"{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,10,워게임 rev-basic 9문제 풀기,분량형,QUANTITY_BASED,상,HIGH,150.0,210.85,1.4057,0.3405,RULE_AVERAGE_BLEND,166.0,1.1067,1.1067,0.1014,0.1014,AVERAGE_BASELINE,False,,5,0.4521,0.417,"{""QUANTITY_BASED"": -0.05505595670045469, ""SATISFACTION_BASED"": -0.0921849281589241}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": -0.06145661877261607, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}",{}
세진,14,운체보 개념 이해,만족형,SATISFACTION_BASED,중,MEDIUM,240.0,468.3,1.9512,0.6685,RULE_AVERAGE_BLEND,1000.0,4.1667,4.0,1.4271,1.3863,AVERAGE_BASELINE,False,,6,0.417,0.514,"{""QUANTITY_BASED"": -0.05505595670045469, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.017613715748728054, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}",{}
세진,16,멀코컴 03 정리 마무리,분량형,QUANTITY_BASED,중,MEDIUM,40.0,57.38,1.4346,0.3609,RULE_AVERAGE_BLEND,73.0,1.825,1.825,0.6016,0.6016,AVERAGE_BASELINE,False,,7,0.514,0.5227,"{""QUANTITY_BASED"": -0.019706411238690453, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.03391311214498594, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}",{}
세진,17,멀코컴 04-1 강의 정리,분량형,QUANTITY_BASED,중,MEDIUM,90.0,131.24,1.4582,0.3772,RULE_AVERAGE_BLEND,311.0,3.4556,3.4556,1.24,1.24,AVERAGE_BASELINE,False,,8,0.5227,0.5945,"{""QUANTITY_BASED"": 0.10478707543031668, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.11154681758595641, ""LOW"": -0.019283188408419895, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}",{}
세진,19,멀코컴 과제 1,분량형,QUANTITY_BASED,하,LOW,180.0,270.67,1.5037,0.4079,RULE_AVERAGE_BLEND,367.0,2.0389,2.0389,0.7124,0.7124,AVERAGE_BASELINE,False,,9,0.5945,0.6063,"{""QUANTITY_BASED"": 0.12491104989796098, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.11154681758595641, ""LOW"": 0.006539820953883297, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 2, ""HIGH"": 1}",{}
세진,20,멀코컴 04-2 강의 정리,분량형,QUANTITY_BASED,중,MEDIUM,45.0,72.8,1.6178,0.481,RULE_AVERAGE_BLEND,67.0,1.4889,1.4889,0.398,0.398,AVERAGE_BASELINE,False,,10,0.6063,0.5854,"{""QUANTITY_BASED"": 0.08889099448568244, ""SATISFACTION_BASED"": 0.03102982003103831}","{""UNKNOWN"": 0.02225888876745373, ""MEDIUM"": 0.08886987054230451, ""LOW"": 0.006539820953883297, ""HIGH"": -0.02487723782430865}",{},"{""QUANTITY_BASED"": 9, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 2, ""HIGH"": 1}",{}
나영,1,데사 2주차 공부,만족형,SATISFACTION_BASED,모름,UNKNOWN,160.0,397.76,2.486,0.9107,RULE,621.0,3.8813,3.8813,1.3562,1.3562,AVERAGE_BASELINE,False,,0,,0.5358,"{""SATISFACTION_BASED"": 0.06682071681573094}","{""UNKNOWN"": 0.04454714454382063}",{},"{""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1}",{}
나영,2,건여 3주차 2번째 영상,분량형,QUANTITY_BASED,하,LOW,40.0,55.4,1.3851,0.3258,RULE_AVERAGE_BLEND,35.0,0.875,0.875,-0.1335,-0.1335,AVERAGE_BASELINE,False,,1,0.5358,0.4689,"{""SATISFACTION_BASED"": 0.06682071681573094, ""QUANTITY_BASED"": -0.08225465376446835}","{""UNKNOWN"": 0.04454714454382063, ""LOW"": -0.054836435842978905}",{},"{""SATISFACTION_BASED"": 1, ""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1, ""LOW"": 1}",{}
나영,3,데사 3주차 공부,만족형,SATISFACTION_BASED,중,MEDIUM,130.0,258.85,1.9912,0.6887,RULE_AVERAGE_BLEND,510.0,3.9231,3.9231,1.3669,1.3669,AVERAGE_BASELINE,False,,2,0.4689,0.5587,"{""SATISFACTION_BASED"": 0.1554945710884465, ""QUANTITY_BASED"": -0.08225465376446835}","{""UNKNOWN"": 0.04454714454382063, ""LOW"": -0.054836435842978905, ""MEDIUM"": 0.06579797453005014}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 1}",{}
나영,10,연구 데이터셋 돌리기,분량형,QUANTITY_BASED,중,MEDIUM,90.0,129.53,1.4392,0.3641,RULE_AVERAGE_BLEND,87.0,0.9667,0.9667,-0.0339,-0.0339,AVERAGE_BASELINE,False,,3,0.5587,0.4994,"{""SATISFACTION_BASED"": 0.1554945710884465, ""QUANTITY_BASED"": -0.14485586412500095}","{""UNKNOWN"": 0.04454714454382063, ""LOW"": -0.054836435842978905, ""MEDIUM"": 0.009258571460243219}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 2}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 2}",{}
나영,11,캡디 UI 1차 수정,분량형,QUANTITY_BASED,중,MEDIUM,40.0,56.63,1.4158,0.3477,RULE_AVERAGE_BLEND,55.0,1.375,1.375,0.3185,0.3185,AVERAGE_BASELINE,False,,4,0.4994,0.4813,"{""SATISFACTION_BASED"": 0.1554945710884465, ""QUANTITY_BASED"": -0.136324659669801}","{""UNKNOWN"": 0.04454714454382063, ""LOW"": -0.054836435842978905, ""MEDIUM"": -0.0004654024614812267}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 3}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 3}",{}
