user_name,after_task_id,completed_count,user_global,user_type_residual,user_difficulty_residual,user_folder_residual,type_count,difficulty_count,folder_count
세진,1,1,0.546,"{""QUANTITY_BASED"": 0.07470859239479798}","{""UNKNOWN"": 0.05603144429609847}",{},"{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}",{}
세진,2,2,0.7029,"{""QUANTITY_BASED"": 0.19008908223645002}","{""UNKNOWN"": 0.1453683838921424}",{},"{""QUANTITY_BASED"": 2}","{""UNKNOWN"": 2}",{}
세진,4,3,0.6032,"{""QUANTITY_BASED"": 0.19008908223645002, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.1453683838921424, ""MEDIUM"": -0.11079242376961883}",{},"{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1}",{}
세진,5,4,0.5281,"{""QUANTITY_BASED"": 0.10114821740876906, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.1453683838921424, ""MEDIUM"": -0.11079242376961883, ""LOW"": -0.038192286285293225}",{},"{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,8,5,0.4087,"{""QUANTITY_BASED"": -0.06509406875110292, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": -0.11079242376961883, ""LOW"": -0.038192286285293225}",{},"{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,10,6,0.3472,"{""QUANTITY_BASED"": -0.09313629599392909, ""SATISFACTION_BASED"": -0.1477232316928251}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": -0.11079242376961883, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}",{}
세진,14,7,0.555,"{""QUANTITY_BASED"": -0.09313629599392909, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.025691095228936423, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}",{}
세진,16,8,0.5643,"{""QUANTITY_BASED"": -0.04659627915024384, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.04277199917827053, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}",{}
세진,17,9,0.6995,"{""QUANTITY_BASED"": 0.1164538337586273, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.15165434211064674, ""LOW"": -0.038192286285293225, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}",{}
세진,19,10,0.702,"{""QUANTITY_BASED"": 0.1199521037330379, ""SATISFACTION_BASED"": 0.04164095522322317}","{""UNKNOWN"": 0.014053644299732437, ""MEDIUM"": 0.15165434211064674, ""LOW"": -0.01237166579789721, ""HIGH"": -0.030795780744785055}",{},"{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 2, ""HIGH"": 1}",{}
