user_name,task_id,task_title,session_order,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,1,알고리즘 - 수학 공부,1,48.0,48.0,30.0,산만,LOW,160.37,148.99,233.0,-84.01,84.01,36.06,112.0,89.6,0.5,100.99,0.8
세진,1,알고리즘 - 수학 공부,2,72.0,120.0,40.0,보통,MEDIUM,148.99,224.49,233.0,-8.51,8.51,3.65,180.0,180.0,0.5,104.49,1.0
세진,1,알고리즘 - 수학 공부,3,87.0,207.0,90.0,꽤 집중,HIGH,224.49,233.59,233.0,0.59,0.59,0.25,23.0,27.6,0.9,26.59,1.2
세진,1,알고리즘 - 수학 공부,4,26.0,233.0,100.0,꽤 집중,HIGH,233.59,233.06,233.0,0.06,0.06,0.03,0.0,0.0,0.9,0.06,1.2
세진,2,알고리즘 - 이분탐색 공부,1,11.0,11.0,10.0,보통,MEDIUM,107.03,107.77,227.0,-119.23,119.23,52.52,99.0,99.0,0.25,96.77,1.0
세진,2,알고리즘 - 이분탐색 공부,2,87.0,98.0,20.0,완전 몰입,VERY_HIGH,107.77,252.33,227.0,25.33,25.33,11.16,392.0,588.0,0.25,154.33,1.5
세진,2,알고리즘 - 이분탐색 공부,3,15.0,113.0,30.0,완전 몰입,VERY_HIGH,252.33,380.41,227.0,153.41,153.41,67.58,263.67,395.5,0.5,267.41,1.5
세진,2,알고리즘 - 이분탐색 공부,4,55.0,168.0,50.0,꽤 집중,HIGH,380.41,375.01,227.0,148.01,148.01,65.2,168.0,201.6,0.5,207.01,1.2
세진,2,알고리즘 - 이분탐색 공부,5,59.0,227.0,100.0,완전 몰입,VERY_HIGH,375.01,241.8,227.0,14.8,14.8,6.52,0.0,0.0,0.9,14.8,1.5
세진,4,캡디 자료조사 하기,1,104.0,104.0,80.0,보통,MEDIUM,298.76,172.19,184.0,-11.81,11.81,6.42,26.0,26.0,0.75,68.19,1.0
