,,,,,,,,,,
,태스크 ID,태스크 생성 일자,태스크 이름,마감일시,태스크 유형,본인 예상 소요시간(분),우선순위,난이도,실제 소요 시간(분) 계산,완료 여부
,1,2026. 4. 15,데사 2주차 공부,2026-04-18 16:00,만족형,160,높음,모름,621,O
,2,2026. 4. 15,건여 3주차 2번째 영상,2026-04-18 16:00,분량형,40,보통,하,35,O
,3,2026. 4. 16,데사 3주차 공부,2026-04-19 14:00,만족형,130,높음,중,510,O
,4,2026. 4. 17,데사 4주차 공부,2026-04-19 21:00,만족형,160,높음,중,0,
,5,2026. 4. 17,데사 5주차 공부,2026-04-19 21:00,만족형,160,높음,중,0,
,6,2026. 4. 18,머러 2주차 공부,2026-04-20 18:00,만족형,140,높음,중,0,
,7,2026. 4. 18,머러 3주차 공부,2026-04-20 18:00,만족형,140,높음,중,0,
,8,2026. 4. 20,건여 중간고사 대비,2026-04-21 02:00,분량형,150,높음,하,210,
,9,2026. 4. 21,인행심 중간고사 대비,2026-04-21 12:00,분량형,300,높음,중,173,
,10,2026. 5. 18,연구 데이터셋 돌리기,2026-05-18 17:00,분량형,90,높음,중,87,O
,11,2026. 5. 18,캡디 UI 1차 수정,2026-05-18 19:00,분량형,40,높음,중,55,O
