,,,,,,,
,태스크 ID,세션 번호,시작 시각,중단 시각,진행률(%),집중도,세션 소요 시간(분) 계산
,1,1,2026. 3. 20 오후 8:13:02,2026. 3. 20 오후 9:00:58,30,산만,48
,1,2,2026. 3. 20 오후 11:02:40,2026. 3. 21 오전 12:14:25,40,보통,72
,1,3,2026. 3. 21 오후 7:50:33,2026. 3. 21 오후 9:17:39,90,꽤 집중,87
,1,4,2026. 3. 21 오후 11:15:21,2026. 3. 21 오후 11:40:57,100,꽤 집중,26
,2,1,2026. 3. 21 오후 11:58:44,2026. 3. 22 오전 12:09:24,10,보통,11
,3,1,2026. 3. 22 오전 11:21:45,2026. 3. 22 오후 12:13:30,,보통,52
,4,1,2026. 3. 22 오후 3:46:00,2026. 3. 22 오후 5:30:00,80,보통,104
,4,2,2026. 3. 22 오후 6:45:00,2026. 3. 22 오후 8:05:18,100,보통,80
,5,1,2026. 3. 23 오후 7:08:41,2026. 3. 23 오후 9:01:53,100,보통,113
,2,2,2026. 3. 23 오후 11:45:21,2026. 3. 24 오전 1:11:55,20,완전 몰입,87
,2,3,2026. 3. 24 오전 1:27:02,2026. 3. 24 오전 1:42:09,30,완전 몰입,15
,2,4,2026. 3. 24 오전 9:36:23,2026. 3. 24 오전 10:31:09,50,꽤 집중,55
,2,5,2026. 3. 24 오후 1:10:44,2026. 3. 24 오후 2:09:19,100,완전 몰입,59
,6,1,2026. 3. 24 오후 2:09:35,2026. 3. 24 오후 2:29:54,20,꽤 집중,20
,7,1,2026. 3. 24 오후 2:30:54,2026. 3. 24 오후 3:10:38,60,꽤 집중,40
,8,1,2026. 3. 24 오후 3:12:51,2026. 3. 24 오후 3:50:13,40,산만,37
,8,2,2026. 3. 24 오후 8:08:51,2026. 3. 24 오후 8:19:56,50,보통,11
,8,3,2026. 3. 25 오후 12:13:48,2026. 3. 25 오후 12:21:31,100,보통,8
,9,1,2026. 4. 10 오후 6:52:55,2026. 4. 10 오후 7:26:06,10,산만,33
,9,2,2026. 4. 11 오전 12:12:29,2026. 4. 11 오전 12:39:39,15,보통,27
,9,3,2026. 4. 12 오후 1:44:38,2026. 4. 12 오후 2:05:57,20,보통,21
,9,4,2026. 4. 12 오후 3:28:47,2026. 4. 12 오후 5:10:32,40,꽤 집중,102
,9,5,2026. 4. 12 오후 5:19:36,2026. 4. 12 오후 5:54:49,50,꽤 집중,35
,9,6,2026. 4. 12 오후 6:00:53,2026. 4. 12 오후 6:15:27,55,완전 몰입,15
,9,7,2026. 4. 12 오후 7:12:20,2026. 4. 12 오후 8:17:10,80,꽤 집중,65
,10,1,2026. 4. 12 오후 8:45:13,2026. 4. 12 오후 9:15:36,20,꽤 집중,30
,10,2,2026. 4. 13 오후 7:19:44,2026. 4. 13 오후 8:45:27,50,꽤 집중,86
