user_name,after_task_id,completed_count,user_global,user_type_residual,user_difficulty_residual,user_folder_residual,type_count,difficulty_count,folder_count
세진,1,1,0.0951,"{""QUANTITY_BASED"": 0.14268431748531532}","{""UNKNOWN"": 0.09512287832354356}",{},"{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}",{}
세진,2,2,0.2187,"{""QUANTITY_BASED"": 0.30660405640288174}","{""UNKNOWN"": 0.20915884818476504}",{},"{""QUANTITY_BASED"": 2}","{""UNKNOWN"": 2}",{}
세진,4,3,0.2172,"{""QUANTITY_BASED"": 0.30660405640288174, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.20915884818476504, ""MEDIUM"": -0.0014370672504389614}",{},"{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1}",{}
세진,5,4,0.2183,"{""QUANTITY_BASED"": 0.2621650598847587, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.20915884818476504, ""MEDIUM"": -0.0014370672504389614, ""LOW"": 0.0010344079615395019}",{},"{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,8,5,0.1895,"{""QUANTITY_BASED"": 0.17975109866976915, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": -0.0014370672504389614, ""LOW"": 0.0010344079615395019}",{},"{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}",{}
세진,10,6,0.1807,"{""QUANTITY_BASED"": 0.13955995672234148, ""SATISFACTION_BASED"": -0.002155600875658442}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": -0.0014370672504389614, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}",{}
세진,14,7,0.3013,"{""QUANTITY_BASED"": 0.13955995672234148, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.11926373987238788, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}",{}
세진,16,8,0.3313,"{""QUANTITY_BASED"": 0.16367089263818185, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.13736731883461015, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}",{}
세진,17,9,0.4222,"{""QUANTITY_BASED"": 0.2754211834464041, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.21449787008711552, ""LOW"": 0.0010344079615395019, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}",{}
세진,19,10,0.4512,"{""QUANTITY_BASED"": 0.27764210146030666, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.21449787008711552, ""LOW"": 0.029953697519294355, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 2, ""HIGH"": 1}",{}
세진,20,11,0.4459,"{""QUANTITY_BASED"": 0.22802024208748053, ""SATISFACTION_BASED"": 0.17900338985236472}","{""UNKNOWN"": 0.1595168285447714, ""MEDIUM"": 0.18773105364255055, ""LOW"": 0.029953697519294355, ""HIGH"": -0.008818984764641533}",{},"{""QUANTITY_BASED"": 9, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 2, ""HIGH"": 1}",{}
나영,1,1,0.1356,"{""SATISFACTION_BASED"": 0.20342359000494778}","{""UNKNOWN"": 0.13561572666996521}",{},"{""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1}",{}
나영,2,2,0.1087,"{""SATISFACTION_BASED"": 0.20342359000494778, ""QUANTITY_BASED"": -0.04037206789417318}","{""UNKNOWN"": 0.13561572666996521, ""LOW"": -0.02691471192944879}",{},"{""SATISFACTION_BASED"": 1, ""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1, ""LOW"": 1}",{}
나영,3,3,0.2345,"{""SATISFACTION_BASED"": 0.36163634058254646, ""QUANTITY_BASED"": -0.04037206789417318}","{""UNKNOWN"": 0.13561572666996521, ""LOW"": -0.02691471192944879, ""MEDIUM"": 0.12581752605222726}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 1}",{}
나영,10,4,0.2077,"{""SATISFACTION_BASED"": 0.36163634058254646, ""QUANTITY_BASED"": -0.07457927158031094}","{""UNKNOWN"": 0.13561572666996521, ""LOW"": -0.02691471192944879, ""MEDIUM"": 0.08639376420016204}",{},"{""SATISFACTION_BASED"": 2, ""QUANTITY_BASED"": 2}","{""UNKNOWN"": 1, ""LOW"": 1, ""MEDIUM"": 2}",{}
