user_name,task_id,task_title,session_order,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,1,알고리즘 - 수학 공부,1,48.0,48.0,30.0,산만,LOW,160.37,157.64,233.0,-75.36,75.36,32.34,112.0,89.6,0.12,109.64,0.8
세진,1,알고리즘 - 수학 공부,2,72.0,120.0,40.0,보통,MEDIUM,157.64,180.42,233.0,-52.58,52.58,22.57,180.0,180.0,0.16,60.42,1.0
세진,1,알고리즘 - 수학 공부,3,87.0,207.0,90.0,꽤 집중,HIGH,180.42,237.0,233.0,4.0,4.0,1.72,23.0,27.6,0.36,30.0,1.2
세진,1,알고리즘 - 수학 공부,4,26.0,233.0,100.0,꽤 집중,HIGH,237.0,235.4,233.0,2.4,2.4,1.03,0.0,0.0,0.4,2.4,1.2
세진,2,알고리즘 - 이분탐색 공부,1,11.0,11.0,10.0,보통,MEDIUM,106.98,107.11,227.0,-119.89,119.89,52.82,99.0,99.0,0.04,96.11,1.0
세진,2,알고리즘 - 이분탐색 공부,2,87.0,98.0,20.0,완전 몰입,VERY_HIGH,107.11,153.42,227.0,-73.58,73.58,32.42,392.0,588.0,0.08,55.42,1.5
세진,2,알고리즘 - 이분탐색 공부,3,15.0,113.0,30.0,완전 몰입,VERY_HIGH,153.42,196.03,227.0,-30.97,30.97,13.64,263.67,395.5,0.12,83.03,1.5
세진,2,알고리즘 - 이분탐색 공부,4,55.0,168.0,50.0,꽤 집중,HIGH,196.03,230.74,227.0,3.74,3.74,1.65,168.0,201.6,0.2,62.74,1.2
세진,2,알고리즘 - 이분탐색 공부,5,59.0,227.0,100.0,완전 몰입,VERY_HIGH,230.74,229.24,227.0,2.24,2.24,0.99,0.0,0.0,0.4,2.24,1.5
세진,4,캡디 자료조사 하기,1,104.0,104.0,80.0,보통,MEDIUM,298.14,244.33,184.0,60.33,60.33,32.79,26.0,26.0,0.32,140.33,1.0
세진,4,캡디 자료조사 하기,2,80.0,184.0,100.0,보통,MEDIUM,244.33,220.2,184.0,36.2,36.2,19.67,0.0,0.0,0.4,36.2,1.0
세진,5,악성 코드 조사 및 정리하기,1,113.0,113.0,100.0,보통,MEDIUM,125.29,120.38,113.0,7.38,7.38,6.53,0.0,0.0,0.4,7.38,1.0
세진,8,알고리즘 - 이진 검색 트리,1,37.0,37.0,40.0,산만,LOW,108.19,103.9,56.0,47.9,47.9,85.54,55.5,44.4,0.16,66.9,0.8
세진,8,알고리즘 - 이진 검색 트리,2,11.0,48.0,50.0,보통,MEDIUM,103.9,102.32,56.0,46.32,46.32,82.72,48.0,48.0,0.2,54.32,1.0
세진,8,알고리즘 - 이진 검색 트리,3,8.0,56.0,100.0,보통,MEDIUM,102.32,83.79,56.0,27.79,27.79,49.63,0.0,0.0,0.4,27.79,1.0
세진,10,워게임 rev-basic 9문제 풀기,1,30.0,30.0,20.0,꽤 집중,HIGH,211.12,208.15,166.0,42.15,42.15,25.39,120.0,144.0,0.08,178.15,1.2
세진,10,워게임 rev-basic 9문제 풀기,2,86.0,116.0,50.0,꽤 집중,HIGH,208.15,217.56,166.0,51.56,51.56,31.06,116.0,139.2,0.2,101.56,1.2
세진,10,워게임 rev-basic 9문제 풀기,3,50.0,166.0,100.0,꽤 집중,HIGH,217.56,196.94,166.0,30.94,30.94,18.64,0.0,0.0,0.4,30.94,1.2
세진,14,운체보 개념 이해,0,138.0,138.0,100.0,완전 몰입,VERY_HIGH,472.49,338.7,1000.0,-661.3,661.3,66.13,0.0,0.0,0.4,200.7,1.5
세진,14,운체보 개념 이해,1,28.0,166.0,15.0,꽤 집중,HIGH,338.7,396.06,1000.0,-603.94,603.94,60.39,940.67,1128.8,0.06,230.06,1.2
세진,14,운체보 개념 이해,2,21.0,187.0,20.0,보통,MEDIUM,396.06,439.18,1000.0,-560.82,560.82,56.08,748.0,748.0,0.08,252.18,1.0
세진,14,운체보 개념 이해,3,34.0,221.0,25.0,보통,MEDIUM,439.18,483.66,1000.0,-516.34,516.34,51.63,663.0,663.0,0.1,262.66,1.0
세진,14,운체보 개념 이해,4,36.0,257.0,50.0,꽤 집중,HIGH,483.66,500.01,1000.0,-499.99,499.99,50.0,257.0,308.4,0.2,243.01,1.2
세진,14,운체보 개념 이해,5,8.0,265.0,55.0,꽤 집중,HIGH,500.01,505.55,1000.0,-494.45,494.45,49.45,216.82,260.18,0.22,240.55,1.2
세진,14,운체보 개념 이해,6,49.0,314.0,60.0,보통,MEDIUM,505.55,509.82,1000.0,-490.18,490.18,49.02,209.33,209.33,0.24,195.82,1.0
세진,14,운체보 개념 이해,7,22.0,336.0,65.0,완전 몰입,VERY_HIGH,509.82,535.18,1000.0,-464.82,464.82,46.48,180.92,271.38,0.26,199.18,1.5
세진,14,운체보 개념 이해,8,22.0,358.0,70.0,보통,MEDIUM,535.18,528.53,1000.0,-471.47,471.47,47.15,153.43,153.43,0.28,170.53,1.0
세진,14,운체보 개념 이해,9,42.0,400.0,70.0,꽤 집중,HIGH,528.53,550.14,1000.0,-449.86,449.86,44.99,171.43,205.71,0.28,150.14,1.2
세진,14,운체보 개념 이해,10,35.0,435.0,75.0,꽤 집중,HIGH,550.14,567.8,1000.0,-432.2,432.2,43.22,145.0,174.0,0.3,132.8,1.2
세진,14,운체보 개념 이해,11,42.0,477.0,75.0,보통,MEDIUM,567.8,588.26,1000.0,-411.74,411.74,41.17,159.0,159.0,0.3,111.26,1.0
