사용자 ID,태스크 ID,태스크 생성 일자,태스크 이름,폴더,마감일시,태스크 유형,본인 예상 소요시간(분),우선순위,난이도,실제 소요 시간(분) 계산,완료 여부,원본 태스크 ID,데이터 구분
2,1,2026-03-20,알고리즘 - 수학 공부,알고리즘,2026-03-20 23:59,분량형,90,보통,모름,233,O,1,원본
2,2,2026-03-21,알고리즘 - 이분탐색 공부,알고리즘,2026-03-22 23:59,분량형,60,보통,모름,227,O,2,원본
2,3,2026-03-22,캡디 자료조사 하기,캡스톤,2026-03-22 20:00,만족형,150,높음,중,184,O,4,원본
2,4,2026-03-23,악성 코드 조사 및 정리하기,보안,2026-03-23 21:00,분량형,90,높음,하,113,O,5,원본
2,5,2026-03-24,알고리즘 - 이진 검색 트리,알고리즘,2026-03-24 23:59,분량형,60,보통,모름,56,O,8,원본
2,6,2026-04-12,워게임 rev-basic 9문제 풀기,보안,2026-04-14 00:00,분량형,150,높음,상,166,O,10,원본
2,7,2026-04-18,운체보 개념 이해,운영체제,2026-04-18 14:00,만족형,240,높음,중,1000,O,14,원본
2,8,2026-04-19,멀코컴 03 정리 마무리,멀코컴,2026-04-19 10:00,분량형,40,보통,중,73,O,16,원본
2,9,2026-04-19,멀코컴 04-1 강의 정리,멀코컴,2026-04-19 10:00,분량형,90,높음,중,311,O,17,원본
2,10,2026-04-19,멀코컴 과제 1,멀코컴,2026-04-19 23:00,분량형,180,높음,하,367,O,19,원본
2,11,2026-04-19,멀코컴 04-2 강의 정리,멀코컴,2026-04-19 17:00,분량형,45,높음,중,67,O,20,원본
2,12,2026-04-21,알고리즘 - 그래프 탐색 공부,알고리즘,2026-04-22 23:59,분량형,80,보통,중,173,O,,생성
2,13,2026-04-23,알고리즘 - DP 기본 문제 풀이,알고리즘,2026-04-24 23:59,분량형,120,높음,상,286,O,,생성
2,14,2026-04-25,워게임 rev-basic 10~12 정리,보안,2026-04-26 23:00,분량형,150,높음,상,219,O,,생성
2,15,2026-04-27,운체보 스케줄링 개념 정리,운영체제,2026-04-28 18:00,만족형,180,높음,중,392,O,,생성
2,16,2026-04-29,멀코컴 05 강의 정리,멀코컴,2026-04-30 10:00,분량형,90,보통,중,157,O,,생성
2,17,2026-04-30,캡디 발표 자료 초안 작성,캡스톤,2026-05-01 20:00,만족형,120,높음,중,245,O,,생성
2,18,2026-05-02,악성코드 분석 보고서 보완,보안,2026-05-03 21:00,만족형,150,높음,하,188,O,,생성
2,19,2026-05-04,알고리즘 - 최단 경로 복습,알고리즘,2026-05-05 23:59,분량형,100,보통,모름,211,O,,생성
2,20,2026-05-06,네트워크 보안 용어 정리,보안,2026-05-06 23:00,분량형,60,보통,하,82,O,,생성
2,21,2026-05-07,멀코컴 과제 2 구현,멀코컴,2026-05-08 23:00,분량형,180,높음,중,341,O,,생성
2,22,2026-05-09,캡디 백엔드 API 명세 정리,캡스톤,2026-05-10 19:00,분량형,90,높음,중,139,O,,생성
2,23,2026-05-11,운체보 메모리 관리 개념 이해,운영체제,2026-05-12 17:00,만족형,200,높음,중,463,O,,생성
2,24,2026-05-13,워게임 pwn-basic 1문제 풀기,보안,2026-05-14 23:59,분량형,120,높음,상,276,O,,생성
2,25,2026-05-15,알고리즘 - 트리 문제 풀이,알고리즘,2026-05-16 23:59,분량형,90,보통,모름,196,O,,생성
2,26,2026-05-17,캡디 사용자 피드백 정리,캡스톤,2026-05-17 22:00,만족형,70,보통,하,96,O,,생성
2,27,2026-05-18,멀코컴 06 강의 정리,멀코컴,2026-05-19 10:00,분량형,90,높음,중,167,O,,생성
2,28,2026-05-20,보안 기사 자료 요약,보안,2026-05-21 20:00,분량형,120,보통,하,151,O,,생성
2,29,2026-05-22,캡디 최종 보고서 AI 파트 정리,캡스톤,2026-05-23 23:00,만족형,210,높음,상,512,O,,생성
2,30,2026-05-24,알고리즘 - 기출 문제 오답 정리,알고리즘,2026-05-25 23:59,분량형,75,보통,중,142,O,,생성
