user_name,after_task_id,completed_count,user_global,user_type_residual,user_difficulty_residual,user_folder_residual,type_count,difficulty_count,folder_count
세진,1,1,0.495353,"{""QUANTITY_BASED"": 0.05602931748531534}","{""UNKNOWN"": 0.03735287832354356}","{""3"": 0.03735287832354356}","{""QUANTITY_BASED"": 1}","{""UNKNOWN"": 1}","{""3"": 1}"
세진,3,2,0.466248,"{""QUANTITY_BASED"": 0.05602931748531534, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.03735287832354356, ""MEDIUM"": -0.05310524148108138}","{""3"": 0.03735287832354356, ""4"": -0.05310524148108138}","{""QUANTITY_BASED"": 1, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1, ""MEDIUM"": 1}","{""3"": 1, ""4"": 1}"
세진,4,3,0.442381,"{""QUANTITY_BASED"": 0.029974496593460034, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.03735287832354356, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867}","{""3"": 0.03735287832354356, ""4"": -0.05310524148108138, ""5"": -0.01176694884603867}","{""QUANTITY_BASED"": 2, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 1, ""MEDIUM"": 1, ""LOW"": 1}","{""3"": 1, ""4"": 1, ""5"": 1}"
세진,2,4,0.531203,"{""QUANTITY_BASED"": 0.13876203719387278, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.10914006721747704, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867}","{""3"": 0.10914006721747704, ""4"": -0.05310524148108138, ""5"": -0.01176694884603867}","{""QUANTITY_BASED"": 3, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 2, ""MEDIUM"": 1, ""LOW"": 1}","{""3"": 2, ""4"": 1, ""5"": 1}"
세진,5,5,0.471184,"{""QUANTITY_BASED"": 0.007968326183342436, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.01176694884603867}","{""QUANTITY_BASED"": 4, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1}","{""3"": 3, ""4"": 1, ""5"": 1}"
세진,6,6,0.4342,"{""QUANTITY_BASED"": -0.03340158277037757, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": -0.05310524148108138, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057}","{""QUANTITY_BASED"": 5, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 1, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2}"
세진,8,7,0.450938,"{""QUANTITY_BASED"": 0.010665584537707391, ""SATISFACTION_BASED"": -0.07965786222162206}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": -0.021756764071287692, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.026037953261685554}","{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 1}","{""UNKNOWN"": 3, ""MEDIUM"": 2, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 1}"
세진,7,8,0.544474,"{""QUANTITY_BASED"": 0.010665584537707391, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.04995450767990166, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.026037953261685554, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 6, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 3, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 1, ""6"": 1}"
세진,11,9,0.52983,"{""QUANTITY_BASED"": 0.0010491658466464243, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.039614669571641586, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.018089770595247093, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 7, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 4, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 2, ""6"": 1}"
세진,9,10,0.600845,"{""QUANTITY_BASED"": 0.1213648348945335, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.1159685652310668, ""LOW"": -0.01176694884603867, ""HIGH"": -0.026783106684145765}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.09659615615231175, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 8, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 1, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 3, ""6"": 1}"
세진,10,11,0.612001,"{""QUANTITY_BASED"": 0.1380441124900577, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.1159685652310668, ""LOW"": 0.01266574792503469, ""HIGH"": -0.026783106684145765}","{""3"": 0.02490645687476306, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.11019254242355007, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 9, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 5, ""LOW"": 2, ""HIGH"": 1}","{""3"": 3, ""4"": 1, ""5"": 2, ""7"": 4, ""6"": 1}"
세진,12,12,0.627927,"{""QUANTITY_BASED"": 0.15517709256221351, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.12959810667173643, ""LOW"": 0.01266574792503469, ""HIGH"": -0.026783106684145765}","{""3"": 0.04764220915106307, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.11019254242355007, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 10, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 6, ""LOW"": 2, ""HIGH"": 1}","{""3"": 4, ""4"": 1, ""5"": 2, ""7"": 4, ""6"": 1}"
세진,13,13,0.651985,"{""QUANTITY_BASED"": 0.18328643216106585, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.12959810667173643, ""LOW"": 0.01266574792503469, ""HIGH"": 0.01015247297305839}","{""3"": 0.07713525722474635, ""4"": -0.05310524148108138, ""5"": -0.03737336064558057, ""7"": 0.11019254242355007, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 11, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 6, ""LOW"": 2, ""HIGH"": 2}","{""3"": 5, ""4"": 1, ""5"": 2, ""7"": 4, ""6"": 1}"
세진,14,14,0.62463,"{""QUANTITY_BASED"": 0.13006123562413768, ""SATISFACTION_BASED"": 0.03659421012771211}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.12959810667173643, ""LOW"": 0.01266574792503469, ""HIGH"": -0.008017595466092974}","{""3"": 0.07713525722474635, ""4"": -0.05310524148108138, ""5"": -0.050790845722868044, ""7"": 0.11019254242355007, ""6"": 0.06953559534406058}","{""QUANTITY_BASED"": 12, ""SATISFACTION_BASED"": 2}","{""UNKNOWN"": 3, ""MEDIUM"": 6, ""LOW"": 2, ""HIGH"": 3}","{""3"": 5, ""4"": 1, ""5"": 3, ""7"": 4, ""6"": 1}"
세진,15,15,0.639997,"{""QUANTITY_BASED"": 0.13006123562413768, ""SATISFACTION_BASED"": 0.01815635304406489}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.10800581229490253, ""LOW"": 0.01266574792503469, ""HIGH"": -0.008017595466092974}","{""3"": 0.07713525722474635, ""4"": -0.05310524148108138, ""5"": -0.050790845722868044, ""7"": 0.11019254242355007, ""6"": 0.05394955209999425}","{""QUANTITY_BASED"": 12, ""SATISFACTION_BASED"": 3}","{""UNKNOWN"": 3, ""MEDIUM"": 7, ""LOW"": 2, ""HIGH"": 3}","{""3"": 5, ""4"": 1, ""5"": 3, ""7"": 4, ""6"": 2}"
세진,16,16,0.631641,"{""QUANTITY_BASED"": 0.11196786919014429, ""SATISFACTION_BASED"": 0.01815635304406489}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.09814911033849712, ""LOW"": 0.01266574792503469, ""HIGH"": -0.008017595466092974}","{""3"": 0.07713525722474635, ""4"": -0.05310524148108138, ""5"": -0.050790845722868044, ""7"": 0.10011716745427991, ""6"": 0.05394955209999425}","{""QUANTITY_BASED"": 13, ""SATISFACTION_BASED"": 3}","{""UNKNOWN"": 3, ""MEDIUM"": 8, ""LOW"": 2, ""HIGH"": 3}","{""3"": 5, ""4"": 1, ""5"": 3, ""7"": 5, ""6"": 2}"
세진,17,17,0.639854,"{""QUANTITY_BASED"": 0.11196786919014429, ""SATISFACTION_BASED"": -0.00824831298218464}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.07254672392488754, ""LOW"": 0.01266574792503469, ""HIGH"": -0.008017595466092974}","{""3"": 0.07713525722474635, ""4"": -0.06358219271273312, ""5"": -0.050790845722868044, ""7"": 0.10011716745427991, ""6"": 0.05394955209999425}","{""QUANTITY_BASED"": 13, ""SATISFACTION_BASED"": 4}","{""UNKNOWN"": 3, ""MEDIUM"": 9, ""LOW"": 2, ""HIGH"": 3}","{""3"": 5, ""4"": 2, ""5"": 3, ""7"": 5, ""6"": 2}"
세진,18,18,0.598449,"{""QUANTITY_BASED"": 0.11196786919014429, ""SATISFACTION_BASED"": -0.10091812765188088}","{""UNKNOWN"": 0.02490645687476306, ""MEDIUM"": 0.07254672392488754, ""LOW"": -0.051205534612151396, ""HIGH"": -0.008017595466092974}","{""3"": 0.07713525722474635, ""4"": -0.06358219271273312, ""5"": -0.10831646889526386, ""7"": 0.10011716745427991, ""6"": 0.05394955209999425}","{""QUANTITY_BASED"": 13, ""SATISFACTION_BASED"": 5}","{""UNKNOWN"": 3, ""MEDIUM"": 9, ""LOW"": 3, ""HIGH"": 3}","{""3"": 5, ""4"": 2, ""5"": 4, ""7"": 5, ""6"": 2}"
